Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-179.6545	-242.7648	63.11026	4.085293	0.754482	0.245518	0.6686692
6	-186.5532	-248.1587	61.60556	2.879685	0.771769	0.228231	2.726582
12	-183.4265	-247.7711	64.34457	2.481092	0.331665	0.668335	1.104574
18	-184.0148	-248.454	64.43924	2.707097	0.482938	0.517062	0.7519923
24	-180.596	-245.2816	64.68563	2.464984	0.420006	0.579994	0.7455671
30	-182.6215	-246.9247	64.30327	2.899247	0.511131	0.488869	0.3720342
36	-174.7482	-239.0043	64.25603	2.970597	0.891684	0.108316	0.5935401
42	-177.2309	-241.4107	64.17984	3.028604	0.889564	0.110436	0.3810657
48	-180.1145	-244.673	64.55853	2.672242	0.40786	0.59214	0.4281476
54	-180.2784	-242.7144	62.43594	1.95574	0.197574	0.802426	2.783733
60	-176.4459	-240.1514	63.70546	2.035394	0.68074	0.31926	1.924612
66	-177.5205	-239.7475	62.22697	1.846954	0.763574	0.236426	2.976006
72	-179.1563	-242.696	63.53965	2.539999	0.455478	0.544522	1.690306
78	-176.5562	-240.4872	63.93099	2.173532	0.883345	0.116655	1.672607
84	-180.3277	-244.1843	63.85658	2.292766	0.152357	0.847643	1.640507
90	-188.0775	-251.0035	62.92596	4.08179	0.44365	0.55635	0.9246142
96	-186.3512	-251.2302	64.87906	1.820409	0.960322	0.0396776	1.215538
102	-178.0105	-242.4727	64.46223	2.35893	0.582136	0.417864	1.108686
108	-182.6721	-245.2044	62.53227	1.641628	0.211573	0.788427	2.915803
114	-181.4155	-242.536	61.12051	1.710001	0.0659544	0.934046	3.707615
120	-181.0892	-241.4964	60.40722	1.772162	0.561685	0.438315	4.08118
126	-179.7231	-240.8159	61.09275	1.086635	0.280912	0.719088	4.08118
132	-177.7925	-239.1507	61.35821	1.125526	0.342477	0.657523	3.907221
138	-176.6185	-240.8168	64.1983	1.517606	0.754456	0.245544	1.94144
144	-176.3029	-240.4769	64.17406	2.047081	0.328374	0.671626	1.588505
150	-176.0402	-240.2023	64.16209	2.05905	0.685767	0.314233	1.588505
156	-177.9198	-241.702	63.78217	2.308014	0.372926	0.627074	1.68282
162	-171.7528	-235.3443	63.59148	2.077316	0.3028	0.6972	1.973076
168	-167.4505	-231.4952	64.04471	3.170015	0.888819	0.111181	0.6265514
174	-172.426	-236.1009	63.67489	3.567019	0.456314	0.543686	0.4878195
180	-171.9235	-235.5706	63.64706	3.567019	0.477127	0.522873	0.3906011
186	-172.5346	-235.9162	63.38158	2.6704	0.669317	0.330683	1.709904
192	-173.6477	-236.9072	63.25954	2.792446	0.225955	0.774045	1.709904
198	-176.9484	-240.6088	63.66033	3.170784	0.229006	0.770994	1.099588
204	-176.2164	-237.9285	61.71212	2.955602	0.58101	0.41899	2.614318
210	-173.3608	-237.1128	63.75195	3.476853	0.26284	0.73716	0.5863982
216	-176.0704	-240.1527	64.08235	3.033026	0.26284	0.73716	0.7957629
222	-176.6991	-239.9358	63.23677	3.668328	0.0743853	0.925615	1.029821
228	-172.9045	-235.8668	62.96228	3.553289	0.272177	0.727823	1.365745
234	-179.2112	-242.2401	63.02891	3.062642	0.184463	0.815537	1.68185
240	-181.3622	-244.1663	62.80406	3.449618	0.499005	0.500995	1.564682
246	-184.1859	-248.1953	64.00937	2.694792	0.583465	0.416535	1.211544
252	-184.9817	-247.2678	62.2862	4.213933	0.682632	0.317368	1.37789
258	-190.3798	-253.5592	63.1794	3.641916	0.762389	0.237611	1.108542
264	-179.9284	-242.5786	62.65013	2.276963	0.763043	0.236957	2.452731
270	-181.1418	-244.6717	63.52988	2.45016	0.904018	0.0959819	1.760441
276	-183.5192	-247.0039	63.48476	2.878514	0.630787	0.369213	1.483111
282	-191.7198	-255.7396	64.01983	2.153499	0.0423493	0.957651	1.623221
288	-185.2384	-248.6902	63.45179	3.371424	0.77846	0.22154	1.10681
294	-184.9157	-248.7617	63.84608	3.30424	0.0433489	0.956651	0.7460074
300	-187.4545	-250.921	63.4665	3.500994	0.550391	0.449609	0.9673165
306	-184.8353	-248.4841	63.64878	3.512079	0.153306	0.846694	0.7296521
312	-176.6769	-240.5039	63.82701	3.004233	0.492128	0.507872	1.099469
318	-174.8302	-238.8993	64.06912	3.023798	0.759911	0.240089	0.8250857
324	-177.3059	-240.5473	63.24141	3.756614	0.942356	0.0576438	0.9351306
330	-179.6661	-243.246	63.57998	3.288269	0.467425	0.532575	1.065078
336	-187.1944	-251.631	64.43661	2.148377	0.725719	0.274281	1.310316
342	-185.4195	-247.1351	61.71556	5.245863	0.437151	0.562849	0.212455
348	-184.4461	-247.7269	63.28078	3.702921	0.747778	0.252222	0.950386
354	-181.2933	-244.5581	63.26483	3.918291	0.816954	0.183046	0.347219
360	-186.9238	-250.0754	63.15164	3.918291	0.812061	0.187939	0.2608989
366	-183.9754	-247.2221	63.24671	3.995444	0.410752	0.589248	0.4947442
372	-186.1144	-249.9127	63.79825	2.261583	0.464275	0.535725	1.704354
378	-186.5453	-248.8882	62.34291	4.042722	0.930065	0.0699347	1.466198
384	-186.8045	-247.1511	60.34662	6.011849	0.995354	0.00464631	1.48673
390	-184.7331	-247.9963	63.26327	3.912265	0.753822	0.246178	0.7054473
396	-179.4632	-244.1979	64.73466	2.22052	0.0344611	0.965539	0.9799686
402	-176.8438	-240.3514	63.50759	3.308371	0.254365	0.745635	1.113408
408	-176.485	-239.1034	62.61842	2.560253	0.368413	0.631587	2.293349
414	-174.5385	-237.6011	63.06255	2.116121	0.255323	0.744677	2.293349
420	-177.3961	-241.2142	63.81817	2.664122	0.147748	0.852252	1.391848
426	-172.9382	-234.1199	61.18165	2.81053	0.60171	0.39829	3.025051
432	-165.4635	-228.9946	63.53109	2.582184	0.430189	0.569811	1.666359
438	-170.6833	-232.8815	62.19819	3.873234	0.454118	0.545882	1.696148
444	-169.6738	-233.491	63.81719	3.351755	0.482276	0.517724	0.3322129
450	-173.3239	-237.6035	64.27953	2.953735	0.266729	0.733271	0.5698794
456	-170.8222	-235.2142	64.392	2.678696	0.500085	0.499915	0.8525913
462	-176.049	-238.7289	62.67988	4.493877	0.731129	0.268871	0.7084802
468	-167.2368	-230.6561	63.41934	3.821436	0.60657	0.39343	0.5272089
474	-167.5464	-231.9794	64.43301	2.733603	0.196124	0.803876	0.7203879
480	-167.4396	-230.891	63.45131	3.403896	0.763771	0.236229	1.077304
486	-163.4173	-227.5473	64.13	3.111851	0.410134	0.589866	0.4867981
492	-166.2101	-230.3747	64.16459	3.073833	0.306131	0.693869	0.4577554
498	-175.2276	-239.3557	64.12808	3.074344	0.373675	0.626325	0.6545998
504	-182.8566	-242.7853	59.92875	1.696866	0.38025	0.61975	4.395117
510	-180.3672	-243.1942	62.82693	2.23146	0.615733	0.384267	2.369906
516	-181.2427	-243.5453	62.3026	3.789988	0.615733	0.384267	1.681109
522	-182.7445	-242.305	59.56049	3.545871	0.978823	0.0211769	3.54764
528	-182.48	-246.0527	63.57266	3.545871	0.463887	0.536113	0.7915027
534	-183.3178	-246.9392	63.62136	3.482876	0.347791	0.652209	0.8105229
540	-185.7092	-247.4695	61.7603	2.634915	0.37179	0.62821	2.781581
546	-180.9189	-242.1235	61.20456	3.190653	0.186426	0.813574	2.781581
552	-184.8451	-246.1053	61.26016	3.13505	0.457267	0.542733	2.781581
558	-179.0351	-242.8404	63.80536	1.963135	0.582601	0.417399	1.90591
564	-179.1464	-237.9138	58.76734	2.161545	0.273027	0.726973	4.786095
570	-178.0378	-241.6122	63.57435	2.300734	0.23044	0.76956	1.833151
576	-178.4756	-240.1153	61.63972	3.860709	0.53905	0.46095	2.084797
582	-178.5332	-241.1462	62.61303	2.887407	0.613992	0.386008	2.084797
588	-176.2996	-239.9184	63.61879	3.22384	0.57894	0.42106	1.088989
594	-173.6091	-236.7545	63.14532	3.114065	0.485575	0.514425	1.56048
600	-176.0913	-239.3099	63.21857	2.681132	0.589321	0.410679	1.816196
606	-173.0084	-237.4696	64.46124	2.054012	0.671448	0.328552	1.36599
612	-174.9462	-238.8353	63.88909	2.38414	0.224608	0.775392	1.550278
